STRONG GROUND MOTION RECORDS OF TURKIYE
PLACE                   : MUðLA GULLUK ITFAIYE
EARTHQUAKE DATE         : 2017/07/20 22:31:09 (GMT)
EPICENTER COORDINATES   : 36.91980N-27.44350E
EARTHQUAKE DEPTH (km)   : 19.44
EARTHQUAKE MAGNITUDE    : 6.5 Mw
STATION ID              : 4817
STATION COORDINATES     : 37.24010N-27.60310E
STATION ALTITUDE (m)    : 10
RECORDER TYPE           : GeoSig gmsplus
RECORDER SERIAL NO      : 101911
RECORD TIME             : 20/07/2017 22:30:59.000000 (GMT)
NUMBER OF DATA          : 9156
SAMPLING INTERVAL (sec) : 0.01
RAW PGA VALUES (gal)    : (N-S) 79.043928 (E-W) 57.980898 (U-D) 31.728123
Copyright EARTHQUAKE DEPARTMENT
DISASTER AND EMERGENCY MANAGEMENT PRESIDENCY
       N-S          E-W          U-D
   -0.000780      0.003898     0.002079
    0.000260      0.003898     0.003638
   -0.001559      0.005717     0.004678
    0.000000      0.001559     0.002339
    0.001559      0.002859     0.001299
   -0.001299      0.002859    -0.000260
   -0.001559      0.001299     0.002079
   -0.002599      0.000260     0.003638
    0.000260     -0.001299     0.001819
    0.001299      0.002079     0.000520
    0.001299      0.000780    -0.000780
    0.001559      0.001299     0.000520
    0.000520      0.002599     0.000000
    0.001299      0.004158     0.000520
   -0.001299      0.002859     0.002859
   -0.002599      0.001559     0.002339
   -0.006497      0.002599     0.002859
   -0.005977      0.000780     0.002859
   -0.002859      0.002859     0.001559
   -0.003638      0.002339     0.001559
   -0.001299      0.004158     0.001559
    0.000520      0.001559     0.001819
    0.003898     -0.002079     0.002599
    0.004938      0.000000     0.002339
    0.004158     -0.000520     0.001040
    0.002339      0.000260     0.000520
   -0.000260     -0.002079     0.000000
   -0.001299     -0.001299    -0.000260
   -0.003378     -0.001819     0.000520
   -0.002859     -0.000260     0.000520
   -0.001040      0.003898    -0.000780
   -0.000260      0.002339     0.000000
   -0.002599      0.004678     0.002079
   -0.003119      0.003378     0.003378
   -0.003638      0.002339     0.005457
   -0.000780      0.002339     0.004158
    0.001299      0.000780     0.001040
   -0.001040      0.000000    -0.001819
    0.000260     -0.001299     0.000000
   -0.000260      0.000260     0.001559
    0.002859      0.000260     0.001559
    0.003378      0.000520     0.003378
    0.002339      0.001299     0.002859
    0.001040      0.001559     0.002339
   -0.002339      0.001819    -0.000780
   -0.000260      0.004418     0.001040
   -0.004418      0.004418     0.002859
   -0.004938      0.001819     0.001819
   -0.003898      0.003638     0.002599
   -0.004158      0.000520    -0.001559
   -0.000260     -0.000260     0.000780
   -0.000260      0.000000     0.001819
    0.003119      0.001819     0.001559
    0.003898      0.003119     0.002859
    0.005977      0.000260     0.001040
    0.004418      0.002079     0.003638
    0.000000     -0.001559     0.001559
   -0.001819     -0.003638     0.000000
   -0.006237     -0.002079    -0.001040
   -0.003378      0.001299    -0.001040
   -0.004678      0.005198     0.004158
   -0.003378      0.005198     0.003119
   -0.000260      0.006757     0.002339
    0.000520      0.005457     0.002599
    0.003638      0.005977     0.002079
    0.000000      0.003898     0.002339
    0.000260      0.003378     0.000780
    0.000520      0.002859     0.001040
    0.000780     -0.001819     0.000780
    0.000780     -0.001040     0.000780
   -0.001559     -0.002599    -0.001040
   -0.000780     -0.001559    -0.002599
   -0.003119     -0.000780     0.000780
   -0.004418     -0.000260     0.002859
   -0.004938      0.003119     0.002599
   -0.001559      0.003378     0.003119
    0.001040      0.004418     0.003119
    0.002859      0.002079     0.002599
    0.003898      0.001299     0.002599
    0.001559      0.001299     0.001040
    0.002859      0.000520     0.001299
    0.003378      0.000520     0.001819
    0.002859     -0.000520     0.001299
   -0.001559     -0.000520     0.002079
   -0.003378      0.001559     0.002339
   -0.004678      0.002339     0.002339
   -0.005717     -0.000780     0.001559
   -0.003378      0.001040     0.001819
   -0.004678      0.000780     0.000780
   -0.002079      0.001299    -0.000780
    0.000000      0.001819     0.001299
    0.002859      0.000000     0.001819
    0.002859      0.004678     0.000780
    0.002339      0.001559     0.001819
    0.002859      0.001040     0.003119
   -0.001299      0.001040     0.001299
    0.001559     -0.001559     0.001559
   -0.000520      0.000000     0.001299
   -0.001299     -0.002079    -0.001299
   -0.000520     -0.000780    -0.001040
   -0.002339     -0.001819    -0.002599
    0.000000      0.001559     0.000780
   -0.001559      0.004418     0.003898
    0.000000      0.003119     0.005198
   -0.000520      0.004938     0.004678
    0.000520      0.001819     0.000000
    0.001040      0.001819     0.001299
   -0.001299      0.002599     0.000780
    0.000000      0.004158     0.000000
    0.000260      0.002599     0.000520
    0.001040     -0.001559     0.001040
   -0.001299     -0.003119     0.002859
   -0.001299     -0.005198     0.000780
   -0.002599     -0.001040     0.001819
   -0.002859      0.002339     0.003119
   -0.000520      0.003898     0.002079
   -0.002599      0.004418     0.001559
   -0.001040      0.002859     0.003378
   -0.000780      0.000520     0.003638
   -0.001299      0.000260     0.002339
   -0.003378      0.002079     0.000780
   -0.004678      0.000260    -0.001559
   -0.004938      0.001559     0.001299
   -0.003119      0.001819     0.001819
   -0.000780      0.004158     0.001299
   -0.002339      0.003119    -0.000260
    0.002599      0.000000    -0.000780
    0.002079      0.003119     0.002859
    0.000520      0.000780     0.004158
    0.002079      0.002599     0.005717
    0.000260      0.001559     0.002079
    0.001299     -0.002859     0.000260
   -0.000520     -0.003638     0.000520
   -0.002599     -0.003378     0.001299
   -0.005977      0.000780     0.002859
   -0.004158      0.000260    -0.000520
   -0.002859      0.003119    -0.000520
   -0.002859      0.005198    -0.001559
    0.000780      0.006757     0.001559
   -0.000520      0.007536     0.003898
    0.002859      0.003378     0.003378
    0.002079      0.002859     0.005717
    0.001559      0.001299     0.002079
    0.001299      0.001040    -0.000260
   -0.002599     -0.002079    -0.001819
    0.000260     -0.001819    -0.001040
   -0.001040      0.000780     0.002339
   -0.001299     -0.000780     0.003119
   -0.001299      0.002079     0.003119
   -0.002339      0.001559     0.001040
   -0.001819      0.001559     0.000520
   -0.002859      0.002339     0.000520
   -0.001819      0.002339     0.000000
   -0.001299      0.002859     0.001299
   -0.001040      0.002599     0.002079
    0.000260      0.000260     0.002339
    0.002339     -0.001559     0.000780
   -0.000780     -0.000260     0.001299
   -0.001559     -0.001299     0.000520
    0.001040     -0.000260    -0.000260
   -0.001819      0.000520     0.001819
   -0.002079      0.002079     0.001040
   -0.002079      0.004418     0.000520
   -0.002339      0.004938     0.001559
   -0.001559      0.005717     0.003378
   -0.000520      0.003898     0.005198
    0.001040      0.002859     0.003898
    0.000520      0.000780     0.002599
    0.001040      0.001040     0.002079
   -0.000520     -0.000780     0.001040
   -0.001040     -0.002859     0.001299
   -0.000520     -0.000520     0.001819
   -0.001819     -0.002339     0.001559
   -0.002339     -0.002599     0.001299
   -0.003119     -0.000780     0.002599
   -0.003119      0.002079     0.002599
   -0.002339      0.004418     0.000520
    0.000260      0.006237     0.002599
    0.001819      0.005717     0.002079
    0.001040      0.002079     0.001559
   -0.001299      0.001040     0.004678
   -0.000260     -0.002079     0.003378
   -0.000520     -0.002079     0.002339
   -0.002339     -0.002079     0.000520
    0.000520     -0.002859    -0.000520
   -0.001299      0.000000    -0.000260
    0.000260      0.001040    -0.001559
    0.002859      0.006237     0.001559
    0.001819      0.006497     0.003638
    0.001299      0.006237     0.002599
   -0.001040      0.006237     0.001559
    0.001299      0.002859     0.000780
    0.000260      0.002599     0.001299
   -0.001299     -0.000260     0.001559
   -0.000780     -0.001559     0.002079
    0.000520     -0.004418     0.002339
    0.002859     -0.005457     0.002859
    0.002339     -0.003119     0.001299
    0.002859     -0.000520     0.000000
   -0.000520      0.001819     0.000000
   -0.002079      0.002859     0.001559
   -0.001299      0.006237     0.003638
   -0.001559      0.003898     0.001819
   -0.001559      0.003119     0.000260
   -0.002079      0.000780     0.000260
   -0.000780     -0.000260     0.000520
   -0.001559      0.001559     0.001040
   -0.001559      0.000000     0.001559
   -0.002599      0.001040     0.003638
   -0.000520     -0.002339     0.002079
    0.001559      0.001559     0.002079
    0.001040      0.002859     0.002859
    0.001819      0.001559     0.001040
   -0.001040      0.004418     0.000260
   -0.000260     -0.000260     0.000520
   -0.000780      0.000520     0.001559
   -0.002859     -0.001559     0.001299
   -0.001819     -0.000520     0.001559
   -0.002079      0.003638     0.002339
   -0.002599      0.002859     0.001559
   -0.003378      0.003898     0.000780
   -0.001299      0.003119     0.001040
   -0.000780      0.003378     0.001299
   -0.000260      0.001559     0.001299
    0.001040      0.001299     0.002859
    0.002339      0.000520     0.001819
    0.003638      0.001559     0.000780
    0.000260      0.000520    -0.000260
   -0.000520     -0.002599     0.000780
   -0.001299      0.000000     0.003119
   -0.002079     -0.003898     0.002339
   -0.003119     -0.002859     0.002339
   -0.004418      0.000520    -0.000520
   -0.002599      0.003378     0.000260
   -0.004418      0.005457     0.001559
   -0.001559      0.003898     0.000520
    0.001040      0.004678     0.002599
    0.002079      0.001040     0.002079
    0.003119      0.001299     0.003119
    0.001819      0.001040     0.002859
    0.000260      0.002339     0.001040
   -0.001819      0.000780    -0.000780
   -0.000260     -0.002599     0.000520
   -0.001819     -0.001040     0.002859
   -0.001299     -0.004938    -0.000260
   -0.002079     -0.002599    -0.000260
   -0.002339     -0.000520     0.000780
    0.001299      0.002339     0.001299
    0.000000      0.003898     0.000260
    0.001299      0.002859     0.000260
    0.000260      0.004418     0.003119
    0.000260      0.000780     0.003378
   -0.001819      0.001299     0.001819
   -0.003638      0.000000    -0.000520
    0.000520      0.001559     0.001299
   -0.002079      0.001819     0.001559
   -0.001299      0.000780     0.000000
   -0.001040      0.003119    -0.000780
   -0.001559     -0.001559     0.000000
   -0.000260     -0.001299     0.002339
   -0.001819      0.000000     0.002339
   -0.001040      0.001819     0.001819
   -0.002079      0.002859     0.000000
   -0.001559      0.001040     0.001299
   -0.000260     -0.000260     0.001299
    0.000520     -0.001040     0.002079
    0.002339      0.001040     0.003378
    0.001040     -0.000520     0.001559
   -0.001559      0.000260     0.004158
    0.000000      0.000000     0.001819
    0.000000      0.000260     0.001819
   -0.000260      0.000780     0.002859
    0.001299      0.001299     0.001819
   -0.002339      0.003378     0.002079
    0.001299      0.000780     0.000520
    0.000780      0.001040     0.001819
   -0.001559      0.000260     0.000520
    0.001559      0.001559     0.001559
   -0.001040      0.001819     0.000780
    0.000780      0.001559     0.000520
   -0.002339      0.002859     0.002599
   -0.003898      0.000260     0.001559
   -0.001819      0.001819     0.002079
   -0.001299     -0.000780     0.001559
    0.001819      0.000260     0.001299
    0.000780     -0.000520    -0.000780
    0.001559     -0.003378    -0.001559
   -0.000520      0.001559     0.001299
   -0.000520      0.000780     0.003119
   -0.001040      0.002079     0.003119
   -0.002599      0.002599     0.002599
   -0.001299      0.002339     0.003378
   -0.003378      0.002859     0.001559
   -0.001040      0.002599    -0.000780
   -0.001299      0.002079     0.000000
    0.000520      0.000000     0.001299
    0.002339      0.000520     0.001040
    0.000780     -0.001559     0.000780
    0.000520     -0.003119     0.001819
   -0.004418     -0.001819     0.001040
   -0.004678     -0.000520     0.002859
   -0.002859      0.000780     0.002079
   -0.001819      0.001040     0.000000
   -0.001040      0.000260     0.000780
    0.000260      0.001559     0.000780
    0.002079      0.004678     0.002339
    0.001299      0.003378     0.001559
    0.001299      0.005717     0.002859
    0.001040      0.004158     0.002859
    0.000260      0.002079     0.001819
   -0.002079      0.003638     0.003638
   -0.001299     -0.001040     0.002079
   -0.002599      0.000520     0.001819
   -0.002859      0.000520    -0.000520
   -0.001559      0.000000    -0.000780
   -0.003638      0.000780     0.001299
   -0.001299      0.000520     0.002079
   -0.002339      0.002859     0.002339
    0.000260      0.000780     0.000260
    0.002339      0.003378     0.002599
    0.001040      0.003378     0.001819
    0.002859      0.004418     0.001299
    0.000260      0.003898     0.003898
    0.000520     -0.001559     0.002079
   -0.002599      0.001040     0.001299
   -0.005717     -0.000520     0.000520
   -0.003638     -0.001559     0.001040
   -0.002339     -0.000520     0.001819
   -0.000260      0.001040     0.002079
   -0.000260      0.003119     0.002339
    0.000780      0.001819     0.002079
    0.001559      0.001559     0.002859
    0.000780      0.003378     0.002859
   -0.000260      0.005977     0.001299
    0.000000      0.004678    -0.000780
    0.001299      0.004418     0.001819
    0.000000     -0.000780     0.003898
   -0.002599     -0.000520     0.002339
   -0.003898      0.000520     0.000260
   -0.000520     -0.003378    -0.000780
   -0.002079      0.002079     0.000260
   -0.001819      0.000000     0.000260
   -0.000260      0.001040     0.003119
    0.000000      0.002079     0.001559
    0.002339     -0.000260     0.000780
   -0.001559      0.002599     0.002859
   -0.000260      0.001299     0.001040
   -0.000520      0.001559     0.000260
   -0.000260      0.000260    -0.000780
    0.000260      0.001559     0.002079
   -0.001299      0.002859     0.003638
    0.001299      0.003119     0.001299
   -0.000520      0.002339     0.000520
    0.002859      0.000260     0.000260
    0.001559      0.001819     0.001040
   -0.000520      0.000000     0.001040
    0.001299      0.001299     0.002859
   -0.002079      0.000520     0.002339
   -0.001819     -0.000260     0.000780
   -0.003638      0.002599     0.002599
   -0.003638      0.002079     0.002599
   -0.002599      0.003638     0.000780
   -0.002079      0.003898     0.001040
    0.000000      0.004938     0.001559
    0.000520      0.003119     0.002339
    0.002079      0.000780     0.003638
    0.002079     -0.001040     0.000780
    0.001559     -0.002339     0.000520
    0.001040     -0.003898     0.000780
    0.000260     -0.004938     0.002079
    0.000000      0.000000     0.004678
    0.000520      0.000780     0.000780
   -0.000260      0.002859    -0.000780
   -0.001819      0.003898     0.000260
   -0.000780      0.004678     0.001819
   -0.000780      0.006757     0.002339
    0.000000      0.004418     0.001040
   -0.001299      0.004418     0.002079
   -0.000260      0.001040     0.002339
    0.000260     -0.000260     0.002079
   -0.001559     -0.001040     0.000260
    0.000520     -0.002859     0.001559
   -0.000520     -0.001559     0.002079
   -0.000520     -0.000260     0.001559
   -0.000260      0.001559     0.003119
   -0.000260      0.001040     0.000000
   -0.000780      0.002079     0.001819
   -0.001299      0.001040     0.002599
    0.001819      0.002599     0.002079
